Patient_ID,Animal_Type,Breed,Age,Gender,Visit_Date,Disease,Treatment,Doctor,Treatment_Cost,Treatment_Days,Outcome,Follow_Up,Location
VET0213,Cat,Indian Shorthair,10,Female,2025-10-22,Respiratory Infection,Medication,Dr. Arun,2800,7,Recovered,No,Coimbatore
VET0214,Cat,Bengal,4,Female,2026-07-02,Digestive Issues,Medication,Dr. Meena,1900,8,Recovered,Yes,Coimbatore
VET0215,Dog,Indian Spitz,6,Male,2025-07-24,Fever,Medication,Dr. Karthik,1300,5,Recovered,No,Coimbatore
VET0216,Rabbit,Dutch,2,Male,2026-06-03,Digestive Issues,Medication,Dr. Karthik,2200,4,Improving,Yes,Tiruppur
VET0217,Cat,Indian Shorthair,12,Female,2025-05-22,Skin Infection,Medication,Dr. Priya,2800,8,Follow-up Required,Yes,Coimbatore
VET0218,Cow,Jersey,19,Male,2026-01-19,Dental Problem,Dental Care,Dr. Rahul,3900,2,Recovered,Yes,Coimbatore
VET0219,Dog,Indian Spitz,1,Female,2026-07-27,Dental Problem,Dental Care,Dr. Arun,2500,3,Recovered,No,Chennai
VET0220,Dog,Indian Spitz,10,Male,2026-06-01,Parasite Infection,Deworming,Dr. Karthik,2200,1,Recovered,No,Madurai
VET0221,Cat,Bengal,3,Female,2025-08-31,Digestive Issues,Medication,Dr. Meena,3000,3,Recovered,No,Chennai
VET0222,Cow,Sahiwal,8,Male,2025-03-20,Injury,Surgery,Dr. Karthik,5200,8,Critical,Yes,Tiruppur
VET0223,Cat,Bengal,15,Female,2025-09-11,Parasite Infection,Deworming,Dr. Meena,1700,1,Recovered,No,Chennai
VET0224,Dog,Golden Retriever,3,Male,2026-05-19,Parasite Infection,Deworming,Dr. Arun,900,2,Recovered,No,Chennai
VET0225,Cat,Persian,14,Female,2025-07-29,Digestive Issues,Medication,Dr. Karthik,1700,6,Recovered,No,Coimbatore
VET0226,Rabbit,New Zealand White,1,Female,2025-05-09,Vaccination,Vaccination,Dr. Karthik,1500,1,Recovered,No,Coimbatore
VET0227,Goat,Jamunapari,9,Female,2025-01-16,Skin Infection,Medication,Dr. Rahul,2600,10,Recovered,Yes,Coimbatore
VET0228,Bird,Cockatiel,7,Female,2026-06-21,Digestive Issues,Medication,Dr. Priya,1300,3,Recovered,No,Coimbatore
VET0229,Cow,Jersey,9,Female,2026-05-01,Digestive Issues,Medication,Dr. Meena,2600,8,Improving,Yes,Tiruppur
VET0230,Rabbit,Angora,5,Female,2025-08-14,Injury,Surgery,Dr. Meena,4000,16,Recovered,No,Salem
VET0231,Dog,Pug,2,Male,2025-11-03,Digestive Issues,Medication,Dr. Arun,2100,4,Improving,Yes,Chennai
VET0232,Cat,Persian,11,Female,2025-10-16,Parasite Infection,Deworming,Dr. Meena,1400,5,Recovered,No,Madurai
VET0233,Dog,Beagle,8,Male,2025-07-10,Fever,Medication,Dr. Rahul,1300,3,Recovered,No,Coimbatore
VET0234,Dog,Indian Spitz,4,Female,2026-02-05,Respiratory Infection,Medication,Dr. Rahul,2300,5,Improving,Yes,Tiruppur
VET0235,Cat,Maine Coon,11,Male,2025-12-20,Skin Infection,Medication,Dr. Karthik,2300,9,Recovered,No,Coimbatore
VET0236,Goat,Black Bengal,8,Female,2025-09-27,Digestive Issues,Medication,Dr. Karthik,1300,8,Recovered,No,Tiruppur
VET0237,Goat,Black Bengal,20,Male,2025-11-23,Parasite Infection,Deworming,Dr. Meena,2400,1,Recovered,No,Madurai
VET0238,Cat,Indian Shorthair,8,Male,2025-10-13,Dental Problem,Dental Care,Dr. Karthik,2200,2,Recovered,No,Coimbatore
VET0239,Dog,Indian Spitz,4,Male,2025-03-09,Respiratory Infection,Medication,Dr. Rahul,2700,12,Critical,Yes,Chennai
VET0240,Rabbit,New Zealand White,1,Female,2025-09-25,Ear Infection,Medication,Dr. Priya,2200,6,Follow-up Required,Yes,Chennai
VET0241,Cat,Bengal,12,Male,2025-07-20,Fever,Medication,Dr. Arun,2100,4,Improving,Yes,Coimbatore
VET0242,Cow,Sahiwal,12,Female,2026-07-13,Digestive Issues,Medication,Dr. Rahul,1700,3,Recovered,Yes,Madurai
VET0243,Cat,Indian Shorthair,7,Male,2025-12-14,Ear Infection,Medication,Dr. Meena,1700,7,Recovered,No,Tiruppur
VET0244,Cat,Persian,7,Female,2025-09-19,Injury,Surgery,Dr. Priya,5700,13,Recovered,Yes,Tiruppur
VET0245,Dog,German Shepherd,13,Male,2026-02-28,Vaccination,Vaccination,Dr. Arun,600,1,Recovered,No,Chennai
VET0246,Dog,Indian Spitz,8,Male,2026-02-08,Skin Infection,Medication,Dr. Arun,2300,4,Recovered,No,Coimbatore
VET0247,Dog,Indian Spitz,9,Female,2026-07-03,Vaccination,Vaccination,Dr. Karthik,1300,1,Recovered,No,Chennai
VET0248,Goat,Boer,14,Male,2025-11-29,Ear Infection,Medication,Dr. Karthik,1300,9,Recovered,No,Coimbatore
VET0249,Rabbit,Dutch,1,Male,2026-08-25,Fever,Medication,Dr. Arun,900,5,Improving,Yes,Madurai
VET0250,Dog,Pug,1,Male,2025-11-20,Parasite Infection,Deworming,Dr. Karthik,1600,1,Recovered,No,Chennai
VET0251,Cat,Persian,10,Male,2025-02-10,Skin Infection,Medication,Dr. Priya,3400,5,Recovered,No,Tiruppur
VET0252,Cat,Siamese,9,Male,2026-07-05,Skin Infection,Medication,Dr. Karthik,3000,6,Improving,Yes,Salem
VET0253,Cat,Maine Coon,8,Female,2025-03-22,Dental Problem,Dental Care,Dr. Rahul,6000,7,Recovered,No,Coimbatore
VET0254,Rabbit,Lop,9,Male,2026-02-12,Dental Problem,Dental Care,Dr. Karthik,3800,6,Recovered,No,Coimbatore
VET0255,Cat,Siamese,12,Female,2026-03-27,Dental Problem,Dental Care,Dr. Karthik,4200,5,Recovered,No,Chennai
VET0256,Dog,Labrador,12,Male,2025-10-17,Skin Infection,Medication,Dr. Arun,1900,7,Recovered,Yes,Coimbatore
VET0257,Dog,Pug,2,Female,2026-02-23,Injury,Surgery,Dr. Arun,9000,19,Recovered,No,Coimbatore
VET0258,Goat,Malabari,20,Female,2025-07-23,Digestive Issues,Medication,Dr. Priya,2700,3,Recovered,Yes,Chennai
VET0259,Dog,Golden Retriever,13,Female,2025-06-04,Dental Problem,Dental Care,Dr. Karthik,6400,4,Recovered,Yes,Coimbatore
VET0260,Cat,Siamese,13,Male,2025-06-19,Fracture,Surgery,Dr. Priya,15300,19,Recovered,No,Salem
VET0261,Bird,Parrot,4,Male,2025-04-19,Dental Problem,Dental Care,Dr. Arun,5800,7,Recovered,Yes,Chennai
VET0262,Dog,Pug,3,Male,2026-07-08,Parasite Infection,Deworming,Dr. Meena,2000,5,Recovered,Yes,Coimbatore
VET0263,Goat,Malabari,3,Male,2025-04-21,Digestive Issues,Medication,Dr. Karthik,2000,5,Recovered,No,Tiruppur
VET0264,Cat,Persian,3,Male,2026-06-04,Parasite Infection,Deworming,Dr. Karthik,2000,5,Recovered,No,Coimbatore
VET0265,Cat,Siamese,13,Male,2025-05-20,Respiratory Infection,Medication,Dr. Meena,4000,9,Improving,Yes,Coimbatore
VET0266,Cow,Jersey,12,Female,2026-06-13,Fracture,Surgery,Dr. Meena,7800,33,Recovered,Yes,Tiruppur
VET0267,Cat,Siamese,11,Male,2025-08-04,Injury,Surgery,Dr. Karthik,5900,19,Recovered,No,Chennai
VET0268,Goat,Jamunapari,19,Male,2025-12-31,Injury,Surgery,Dr. Meena,7700,20,Follow-up Required,Yes,Coimbatore
VET0269,Cat,Persian,3,Male,2025-11-19,Fracture,Surgery,Dr. Priya,9400,19,Recovered,No,Chennai
VET0270,Cow,Gir,10,Female,2025-11-16,Fracture,Surgery,Dr. Arun,7200,30,Improving,Yes,Coimbatore
VET0271,Dog,Labrador,3,Male,2026-01-05,Parasite Infection,Deworming,Dr. Karthik,900,2,Improving,Yes,Madurai
VET0272,Goat,Boer,13,Female,2025-07-07,Skin Infection,Medication,Dr. Meena,2600,4,Improving,Yes,Madurai
VET0273,Dog,Labrador,14,Female,2025-09-17,Respiratory Infection,Medication,Dr. Karthik,2200,11,Recovered,No,Madurai
VET0274,Cat,Siamese,3,Male,2025-12-24,Skin Infection,Medication,Dr. Priya,3000,5,Recovered,No,Coimbatore
VET0275,Cat,Siamese,13,Female,2025-04-21,Skin Infection,Medication,Dr. Karthik,3400,7,Critical,Yes,Salem
VET0276,Rabbit,Lop,6,Male,2025-08-19,Fever,Medication,Dr. Rahul,1100,2,Recovered,No,Coimbatore
VET0277,Dog,Labrador,1,Male,2025-01-23,Skin Infection,Medication,Dr. Meena,2000,9,Recovered,No,Madurai
VET0278,Cat,Siamese,4,Male,2026-02-12,Respiratory Infection,Medication,Dr. Priya,2800,10,Recovered,Yes,Coimbatore
VET0279,Dog,German Shepherd,2,Male,2025-03-16,Skin Infection,Medication,Dr. Arun,2300,7,Recovered,Yes,Chennai
VET0280,Dog,Indian Spitz,7,Female,2026-01-25,Respiratory Infection,Medication,Dr. Rahul,4100,8,Improving,Yes,Tiruppur
VET0281,Goat,Black Bengal,2,Female,2026-03-28,Fever,Medication,Dr. Rahul,1400,3,Critical,Yes,Chennai
VET0282,Dog,Beagle,1,Female,2026-04-16,Ear Infection,Medication,Dr. Priya,1400,8,Recovered,No,Coimbatore
VET0283,Dog,Golden Retriever,1,Female,2026-06-07,Ear Infection,Medication,Dr. Karthik,2600,4,Recovered,Yes,Madurai
VET0284,Bird,Parrot,7,Female,2026-07-07,Digestive Issues,Medication,Dr. Arun,2500,4,Recovered,No,Coimbatore
VET0285,Cow,Holstein Friesian,4,Male,2026-06-12,Dental Problem,Dental Care,Dr. Arun,6700,2,Critical,Yes,Salem
VET0286,Cow,Jersey,8,Male,2025-10-01,Fever,Medication,Dr. Meena,1800,5,Follow-up Required,Yes,Coimbatore
VET0287,Cow,Holstein Friesian,11,Male,2026-06-09,Dental Problem,Dental Care,Dr. Rahul,4000,7,Improving,Yes,Coimbatore
VET0288,Goat,Jamunapari,6,Female,2026-02-02,Fever,Medication,Dr. Arun,1900,4,Recovered,No,Tiruppur
VET0289,Dog,Pug,4,Female,2025-07-07,Injury,Surgery,Dr. Arun,7400,11,Improving,Yes,Chennai
VET0290,Bird,Budgerigar,10,Male,2025-06-24,Dental Problem,Dental Care,Dr. Rahul,4700,3,Recovered,No,Coimbatore
VET0291,Cow,Gir,12,Female,2026-07-09,Digestive Issues,Medication,Dr. Karthik,1500,6,Recovered,No,Coimbatore
VET0292,Rabbit,Dutch,8,Female,2025-02-14,Dental Problem,Dental Care,Dr. Arun,5200,4,Recovered,Yes,Tiruppur
VET0293,Cat,Indian Shorthair,7,Female,2025-08-06,Respiratory Infection,Medication,Dr. Rahul,2300,6,Follow-up Required,Yes,Chennai
VET0294,Cat,Maine Coon,12,Female,2025-08-21,Vaccination,Vaccination,Dr. Arun,1600,1,Recovered,No,Salem
VET0295,Cat,Maine Coon,8,Female,2025-03-09,Vaccination,Vaccination,Dr. Arun,1500,1,Recovered,No,Tiruppur
VET0296,Dog,Indian Spitz,15,Male,2026-05-04,Injury,Surgery,Dr. Meena,8200,6,Recovered,No,Madurai
VET0297,Cat,Persian,11,Female,2025-01-15,Vaccination,Vaccination,Dr. Priya,1200,1,Recovered,No,Chennai
VET0298,Dog,Indian Spitz,6,Male,2026-06-04,Dental Problem,Dental Care,Dr. Karthik,5400,6,Recovered,No,Salem
VET0299,Goat,Malabari,9,Female,2026-08-03,Ear Infection,Medication,Dr. Arun,2400,6,Follow-up Required,Yes,Coimbatore
VET0300,Cat,Siamese,7,Female,2025-06-03,Dental Problem,Dental Care,Dr. Karthik,3200,5,Improving,Yes,Coimbatore
VET0301,Cow,Gir,2,Female,2025-09-04,Injury,Surgery,Dr. Arun,6700,14,Recovered,No,Chennai
VET0302,Cow,Sahiwal,12,Male,2026-02-25,Dental Problem,Dental Care,Dr. Karthik,5600,6,Recovered,No,Coimbatore
VET0303,Goat,Malabari,8,Female,2026-08-26,Parasite Infection,Deworming,Dr. Meena,1400,5,Recovered,No,Madurai
VET0304,Dog,Labrador,7,Male,2026-06-30,Skin Infection,Medication,Dr. Arun,3000,4,Recovered,No,Madurai
VET0305,Dog,Indian Spitz,1,Male,2026-08-26,Vaccination,Vaccination,Dr. Meena,1200,1,Recovered,No,Chennai
VET0306,Dog,Labrador,10,Female,2026-02-08,Fever,Medication,Dr. Priya,2000,4,Recovered,Yes,Tiruppur
VET0307,Dog,Pug,4,Male,2025-09-13,Fever,Medication,Dr. Karthik,1400,4,Recovered,No,Coimbatore
VET0308,Dog,German Shepherd,5,Female,2025-05-12,Fracture,Surgery,Dr. Rahul,16000,34,Recovered,No,Coimbatore
VET0309,Dog,Indian Spitz,9,Male,2025-09-28,Fever,Medication,Dr. Rahul,1200,2,Recovered,No,Madurai
VET0310,Cow,Sahiwal,3,Female,2026-03-09,Ear Infection,Medication,Dr. Rahul,1600,8,Recovered,No,Coimbatore
VET0311,Cat,Persian,9,Female,2026-07-20,Skin Infection,Medication,Dr. Rahul,2800,8,Improving,Yes,Coimbatore
VET0312,Dog,Golden Retriever,4,Female,2025-02-07,Skin Infection,Medication,Dr. Rahul,3000,7,Improving,Yes,Salem
VET0313,Cat,Indian Shorthair,11,Male,2025-07-25,Respiratory Infection,Medication,Dr. Meena,2200,7,Follow-up Required,Yes,Tiruppur
VET0314,Cow,Jersey,8,Male,2025-09-29,Dental Problem,Dental Care,Dr. Karthik,5600,3,Improving,Yes,Coimbatore
VET0315,Cat,Persian,10,Female,2026-05-20,Vaccination,Vaccination,Dr. Karthik,1200,1,Recovered,No,Salem
VET0316,Dog,Labrador,3,Female,2025-03-22,Respiratory Infection,Medication,Dr. Karthik,4300,11,Improving,Yes,Salem
VET0317,Dog,German Shepherd,14,Male,2026-08-16,Respiratory Infection,Medication,Dr. Meena,2500,5,Recovered,No,Tiruppur
VET0318,Goat,Black Bengal,16,Male,2025-04-19,Respiratory Infection,Medication,Dr. Meena,4000,12,Recovered,No,Salem
VET0319,Cow,Holstein Friesian,11,Female,2026-02-23,Skin Infection,Medication,Dr. Priya,1900,9,Improving,Yes,Chennai
VET0320,Dog,Golden Retriever,6,Male,2025-06-17,Injury,Surgery,Dr. Rahul,5700,9,Improving,Yes,Tiruppur
VET0321,Cow,Gir,11,Female,2025-03-30,Digestive Issues,Medication,Dr. Karthik,2800,6,Recovered,No,Chennai
VET0322,Dog,Indian Spitz,3,Female,2026-08-18,Ear Infection,Medication,Dr. Arun,2400,5,Recovered,Yes,Chennai
VET0323,Dog,Golden Retriever,12,Male,2025-04-07,Fever,Medication,Dr. Rahul,1300,2,Critical,Yes,Coimbatore
VET0324,Cow,Holstein Friesian,9,Male,2025-07-16,Skin Infection,Medication,Dr. Arun,3400,5,Recovered,No,Madurai
VET0325,Cow,Gir,19,Female,2026-04-22,Skin Infection,Medication,Dr. Priya,2200,7,Recovered,No,Tiruppur
VET0326,Dog,Indian Spitz,1,Female,2026-06-02,Injury,Surgery,Dr. Arun,11200,9,Follow-up Required,Yes,Madurai
VET0327,Cow,Jersey,17,Female,2026-08-06,Fever,Medication,Dr. Priya,1800,4,Recovered,No,Coimbatore
VET0328,Cat,Siamese,7,Male,2026-05-10,Dental Problem,Dental Care,Dr. Karthik,4600,7,Recovered,No,Madurai
VET0329,Dog,German Shepherd,6,Male,2025-10-10,Respiratory Infection,Medication,Dr. Karthik,1800,5,Recovered,No,Coimbatore
VET0330,Cat,Indian Shorthair,3,Female,2025-09-23,Fever,Medication,Dr. Rahul,1600,4,Improving,Yes,Coimbatore
VET0331,Cat,Siamese,13,Female,2026-03-25,Digestive Issues,Medication,Dr. Meena,2000,7,Recovered,No,Tiruppur
VET0332,Dog,Labrador,10,Female,2025-09-19,Parasite Infection,Deworming,Dr. Priya,800,1,Recovered,No,Coimbatore
VET0333,Cow,Gir,15,Male,2026-08-28,Parasite Infection,Deworming,Dr. Meena,1000,1,Recovered,No,Madurai
VET0334,Cat,Siamese,13,Female,2025-02-08,Respiratory Infection,Medication,Dr. Meena,2100,9,Critical,Yes,Coimbatore
VET0335,Dog,Labrador,11,Female,2025-10-23,Skin Infection,Medication,Dr. Arun,1700,8,Recovered,No,Madurai
VET0336,Dog,German Shepherd,15,Male,2025-06-13,Fracture,Surgery,Dr. Karthik,14600,27,Improving,Yes,Madurai
VET0337,Cow,Sahiwal,8,Male,2026-05-09,Vaccination,Vaccination,Dr. Arun,900,1,Recovered,No,Coimbatore
VET0338,Goat,Boer,9,Female,2026-07-22,Fracture,Surgery,Dr. Karthik,10200,35,Recovered,No,Madurai
VET0339,Cat,Bengal,11,Male,2025-12-01,Dental Problem,Dental Care,Dr. Priya,2000,7,Improving,Yes,Coimbatore
VET0340,Dog,Pug,8,Female,2025-07-26,Injury,Surgery,Dr. Priya,10700,11,Improving,Yes,Coimbatore
VET0341,Rabbit,Dutch,5,Male,2025-01-21,Skin Infection,Medication,Dr. Meena,1700,10,Improving,Yes,Chennai
VET0342,Goat,Boer,10,Male,2025-10-04,Fever,Medication,Dr. Arun,800,3,Improving,Yes,Salem
VET0343,Dog,Pug,10,Male,2025-12-28,Digestive Issues,Medication,Dr. Karthik,1500,3,Recovered,No,Salem
VET0344,Dog,Labrador,10,Male,2026-04-10,Parasite Infection,Deworming,Dr. Arun,700,3,Recovered,Yes,Coimbatore
VET0345,Cow,Jersey,20,Male,2025-02-14,Respiratory Infection,Medication,Dr. Meena,3200,11,Recovered,No,Chennai
VET0346,Dog,Labrador,14,Male,2026-02-20,Digestive Issues,Medication,Dr. Meena,2100,5,Recovered,No,Chennai
VET0347,Dog,German Shepherd,14,Male,2025-09-04,Dental Problem,Dental Care,Dr. Meena,5600,7,Recovered,No,Chennai
VET0348,Bird,Parrot,1,Male,2025-07-14,Digestive Issues,Medication,Dr. Karthik,1500,4,Recovered,No,Chennai
VET0349,Cat,Indian Shorthair,13,Female,2026-03-09,Dental Problem,Dental Care,Dr. Priya,6300,6,Recovered,Yes,Chennai
VET0350,Dog,German Shepherd,7,Female,2025-04-13,Fracture,Surgery,Dr. Arun,16000,15,Recovered,No,Madurai
VET0351,Dog,Pug,10,Female,2025-05-24,Ear Infection,Medication,Dr. Arun,1200,9,Improving,Yes,Chennai
VET0352,Goat,Boer,19,Female,2025-07-18,Injury,Surgery,Dr. Rahul,4200,17,Recovered,No,Chennai
VET0353,Dog,Indian Spitz,8,Female,2026-03-11,Digestive Issues,Medication,Dr. Meena,1500,4,Recovered,No,Coimbatore
VET0354,Cow,Gir,17,Male,2025-03-23,Skin Infection,Medication,Dr. Meena,2300,8,Improving,Yes,Tiruppur
VET0355,Cat,Indian Shorthair,3,Female,2025-07-25,Injury,Surgery,Dr. Karthik,9400,12,Recovered,No,Coimbatore
VET0356,Dog,Golden Retriever,14,Male,2025-03-03,Vaccination,Vaccination,Dr. Priya,1700,1,Recovered,No,Salem
VET0357,Cat,Persian,9,Female,2025-11-10,Dental Problem,Dental Care,Dr. Meena,3800,6,Recovered,No,Coimbatore
VET0358,Cow,Sahiwal,7,Female,2025-09-22,Respiratory Infection,Medication,Dr. Arun,2000,10,Improving,Yes,Coimbatore
VET0359,Cat,Indian Shorthair,4,Female,2026-04-30,Ear Infection,Medication,Dr. Meena,2900,9,Improving,Yes,Chennai
VET0360,Cow,Holstein Friesian,8,Male,2025-02-09,Digestive Issues,Medication,Dr. Meena,2400,5,Critical,Yes,Madurai
VET0361,Cow,Sahiwal,2,Female,2026-01-31,Skin Infection,Medication,Dr. Arun,1800,5,Recovered,No,Coimbatore
VET0362,Cow,Gir,3,Female,2025-03-02,Ear Infection,Medication,Dr. Priya,2300,9,Recovered,No,Coimbatore
VET0363,Cat,Siamese,15,Male,2026-01-23,Ear Infection,Medication,Dr. Priya,2700,9,Improving,Yes,Madurai
VET0364,Dog,Beagle,5,Male,2026-06-18,Fever,Medication,Dr. Karthik,1800,6,Critical,Yes,Salem
VET0365,Cat,Siamese,9,Female,2026-01-01,Parasite Infection,Deworming,Dr. Priya,2400,5,Recovered,No,Salem
VET0366,Dog,Indian Spitz,6,Female,2025-01-27,Respiratory Infection,Medication,Dr. Karthik,3400,7,Follow-up Required,Yes,Salem
VET0367,Goat,Boer,15,Female,2025-09-10,Injury,Surgery,Dr. Karthik,6300,5,Follow-up Required,Yes,Coimbatore
VET0368,Cow,Gir,16,Male,2026-08-21,Skin Infection,Medication,Dr. Priya,1600,10,Improving,Yes,Madurai
VET0369,Dog,Golden Retriever,3,Female,2025-05-05,Skin Infection,Medication,Dr. Karthik,1600,6,Recovered,No,Chennai
VET0370,Cow,Gir,16,Male,2026-06-24,Dental Problem,Dental Care,Dr. Priya,5200,4,Recovered,No,Madurai
VET0371,Goat,Malabari,14,Male,2025-10-15,Vaccination,Vaccination,Dr. Karthik,600,1,Recovered,No,Coimbatore
VET0372,Cat,Persian,9,Male,2025-07-01,Ear Infection,Medication,Dr. Meena,1600,9,Recovered,No,Coimbatore
VET0373,Dog,Indian Spitz,15,Male,2025-04-03,Injury,Surgery,Dr. Karthik,8200,6,Recovered,No,Madurai
VET0374,Goat,Jamunapari,6,Male,2025-06-05,Ear Infection,Medication,Dr. Rahul,2400,5,Recovered,Yes,Salem
VET0375,Cat,Siamese,12,Female,2025-05-30,Respiratory Infection,Medication,Dr. Meena,2800,12,Recovered,No,Tiruppur
VET0376,Rabbit,Lop,8,Female,2025-06-04,Dental Problem,Dental Care,Dr. Meena,5300,2,Follow-up Required,Yes,Coimbatore
VET0377,Cow,Gir,8,Male,2026-08-30,Vaccination,Vaccination,Dr. Rahul,1300,1,Recovered,No,Tiruppur
VET0378,Goat,Malabari,19,Female,2026-06-07,Fracture,Surgery,Dr. Meena,13000,21,Recovered,No,Coimbatore
VET0379,Rabbit,Angora,5,Female,2026-08-07,Skin Infection,Medication,Dr. Rahul,2800,7,Recovered,No,Coimbatore
VET0380,Dog,Beagle,13,Male,2025-02-05,Digestive Issues,Medication,Dr. Priya,1300,4,Improving,Yes,Coimbatore
VET0381,Goat,Black Bengal,2,Male,2026-01-10,Fever,Medication,Dr. Priya,800,5,Recovered,Yes,Chennai
VET0382,Dog,Golden Retriever,12,Female,2025-12-09,Skin Infection,Medication,Dr. Arun,2600,4,Recovered,No,Madurai
VET0383,Dog,German Shepherd,13,Male,2026-06-14,Injury,Surgery,Dr. Rahul,8500,12,Recovered,No,Tiruppur
VET0384,Rabbit,Angora,5,Female,2025-07-20,Skin Infection,Medication,Dr. Arun,1900,7,Recovered,No,Salem
VET0385,Dog,Beagle,14,Female,2025-08-17,Digestive Issues,Medication,Dr. Meena,2600,5,Improving,Yes,Chennai
VET0386,Cat,Bengal,8,Male,2025-07-06,Vaccination,Vaccination,Dr. Karthik,900,1,Recovered,No,Coimbatore
VET0387,Dog,German Shepherd,13,Female,2025-09-04,Fracture,Surgery,Dr. Karthik,15200,20,Recovered,No,Tiruppur
VET0388,Dog,Golden Retriever,15,Male,2025-11-04,Parasite Infection,Deworming,Dr. Meena,2000,1,Recovered,No,Coimbatore
VET0389,Dog,Pug,10,Female,2025-10-03,Ear Infection,Medication,Dr. Arun,1600,8,Recovered,No,Coimbatore
VET0390,Dog,German Shepherd,11,Male,2025-10-06,Fever,Medication,Dr. Rahul,1100,4,Recovered,No,Chennai
VET0391,Cow,Sahiwal,18,Male,2025-10-13,Ear Infection,Medication,Dr. Rahul,2000,8,Improving,Yes,Madurai
VET0392,Cat,Maine Coon,5,Female,2026-07-21,Skin Infection,Medication,Dr. Priya,2300,6,Recovered,No,Salem
VET0393,Dog,Beagle,9,Female,2026-01-02,Fever,Medication,Dr. Arun,1800,5,Recovered,No,Coimbatore
VET0394,Cat,Indian Shorthair,9,Female,2025-03-13,Skin Infection,Medication,Dr. Priya,3100,9,Recovered,No,Coimbatore
VET0395,Cow,Gir,1,Female,2026-05-21,Ear Infection,Medication,Dr. Priya,1900,8,Recovered,No,Coimbatore
VET0396,Cow,Gir,9,Male,2025-08-15,Injury,Surgery,Dr. Karthik,10400,5,Recovered,No,Madurai
VET0397,Cat,Maine Coon,12,Female,2026-07-04,Fever,Medication,Dr. Meena,1900,6,Critical,Yes,Coimbatore
VET0398,Rabbit,Angora,4,Female,2025-10-15,Vaccination,Vaccination,Dr. Karthik,1400,1,Recovered,No,Coimbatore
VET0399,Dog,Golden Retriever,10,Female,2026-03-23,Parasite Infection,Deworming,Dr. Meena,1100,2,Referred,Yes,Coimbatore
VET0400,Dog,Beagle,7,Female,2026-06-21,Fever,Medication,Dr. Priya,1600,4,Recovered,No,Tiruppur
VET0401,Cat,Siamese,8,Male,2025-07-14,Fever,Medication,Dr. Rahul,2100,2,Recovered,No,Coimbatore
VET0402,Cow,Gir,20,Female,2026-04-16,Fracture,Surgery,Dr. Arun,14200,30,Recovered,No,Madurai
VET0403,Rabbit,Dutch,1,Female,2026-04-14,Digestive Issues,Medication,Dr. Priya,1600,7,Recovered,No,Coimbatore
VET0404,Cat,Persian,9,Female,2025-03-11,Skin Infection,Medication,Dr. Meena,2100,6,Recovered,No,Chennai
VET0405,Dog,Golden Retriever,7,Female,2026-07-06,Dental Problem,Dental Care,Dr. Karthik,4100,2,Follow-up Required,Yes,Salem
VET0406,Dog,Pug,5,Female,2026-03-19,Skin Infection,Medication,Dr. Priya,2700,9,Recovered,Yes,Madurai
VET0407,Dog,Indian Spitz,12,Female,2026-08-25,Fracture,Surgery,Dr. Meena,17900,22,Recovered,No,Tiruppur
VET0408,Dog,German Shepherd,15,Female,2025-09-04,Injury,Surgery,Dr. Rahul,10100,8,Recovered,No,Madurai
VET0409,Dog,German Shepherd,5,Male,2025-07-28,Digestive Issues,Medication,Dr. Arun,1200,8,Critical,Yes,Coimbatore
VET0410,Dog,Labrador,14,Male,2025-06-12,Parasite Infection,Deworming,Dr. Rahul,1000,5,Recovered,No,Chennai
VET0411,Dog,Golden Retriever,5,Female,2026-07-24,Skin Infection,Medication,Dr. Rahul,3300,10,Recovered,Yes,Coimbatore
VET0412,Dog,Golden Retriever,2,Female,2025-09-06,Ear Infection,Medication,Dr. Karthik,1700,9,Recovered,No,Salem
VET0413,Dog,Golden Retriever,3,Female,2025-05-02,Skin Infection,Medication,Dr. Rahul,1900,7,Improving,Yes,Chennai
VET0414,Rabbit,Lop,4,Male,2025-05-08,Skin Infection,Medication,Dr. Meena,1800,8,Recovered,No,Chennai
VET0415,Dog,Indian Spitz,10,Female,2025-08-25,Skin Infection,Medication,Dr. Karthik,2700,10,Recovered,No,Coimbatore
VET0416,Dog,German Shepherd,8,Female,2026-01-06,Fracture,Surgery,Dr. Priya,11100,24,Recovered,No,Coimbatore
VET0417,Dog,Pug,12,Female,2025-06-20,Digestive Issues,Medication,Dr. Priya,2600,7,Recovered,Yes,Coimbatore
VET0418,Dog,Pug,10,Female,2026-02-28,Vaccination,Vaccination,Dr. Karthik,1100,1,Recovered,No,Chennai
VET0419,Goat,Black Bengal,4,Male,2026-03-28,Vaccination,Vaccination,Dr. Karthik,1300,1,Recovered,No,Tiruppur
VET0420,Dog,Golden Retriever,10,Male,2026-01-28,Injury,Surgery,Dr. Arun,10900,16,Recovered,No,Coimbatore
VET0421,Dog,German Shepherd,15,Male,2025-02-16,Ear Infection,Medication,Dr. Priya,2000,9,Improving,Yes,Coimbatore
VET0422,Dog,Labrador,10,Male,2026-05-09,Parasite Infection,Deworming,Dr. Priya,2000,1,Recovered,Yes,Coimbatore
VET0423,Dog,Pug,13,Male,2026-05-18,Parasite Infection,Deworming,Dr. Priya,2400,2,Referred,Yes,Tiruppur
VET0424,Dog,Labrador,3,Male,2025-07-06,Skin Infection,Medication,Dr. Karthik,3300,9,Improving,Yes,Coimbatore
